transaction_id,shop_id,medicine_id,type,date,quantity,reason
TXN10001,SHOP001,73130,PURCHASE,2025-01-02,449,Initial Opening Stock
TXN10145,SHOP002,73161,PURCHASE,2025-01-02,234,Initial Opening Stock
TXN10143,SHOP001,73161,PURCHASE,2025-01-02,272,Initial Opening Stock
TXN10141,SHOP002,73160,PURCHASE,2025-01-02,113,Initial Opening Stock
TXN10139,SHOP001,73160,PURCHASE,2025-01-02,377,Initial Opening Stock
TXN10137,SHOP002,73159,PURCHASE,2025-01-02,126,Initial Opening Stock
TXN10134,SHOP001,73159,PURCHASE,2025-01-02,122,Initial Opening Stock
TXN10131,SHOP002,73158,PURCHASE,2025-01-02,296,Initial Opening Stock
TXN10129,SHOP001,73158,PURCHASE,2025-01-02,130,Initial Opening Stock
TXN10127,SHOP002,73157,PURCHASE,2025-01-02,253,Initial Opening Stock
TXN10125,SHOP001,73157,PURCHASE,2025-01-02,238,Initial Opening Stock
TXN10123,SHOP002,73156,PURCHASE,2025-01-02,110,Initial Opening Stock
TXN10121,SHOP001,73156,PURCHASE,2025-01-02,491,Initial Opening Stock
TXN10119,SHOP002,73155,PURCHASE,2025-01-02,220,Initial Opening Stock
TXN10116,SHOP001,73155,PURCHASE,2025-01-02,383,Initial Opening Stock
TXN10114,SHOP002,73154,PURCHASE,2025-01-02,366,Initial Opening Stock
TXN10223,SHOP002,73179,PURCHASE,2025-01-02,312,Initial Opening Stock
TXN10109,SHOP002,73153,PURCHASE,2025-01-02,357,Initial Opening Stock
TXN10075,SHOP002,73146,PURCHASE,2025-01-02,381,Initial Opening Stock
TXN10078,SHOP001,73147,PURCHASE,2025-01-02,199,Initial Opening Stock
TXN10080,SHOP002,73147,PURCHASE,2025-01-02,129,Initial Opening Stock
TXN10083,SHOP001,73148,PURCHASE,2025-01-02,311,Initial Opening Stock
TXN10085,SHOP002,73148,PURCHASE,2025-01-02,374,Initial Opening Stock
TXN10088,SHOP001,73149,PURCHASE,2025-01-02,139,Initial Opening Stock
TXN10147,SHOP001,73162,PURCHASE,2025-01-02,210,Initial Opening Stock
TXN10091,SHOP002,73149,PURCHASE,2025-01-02,260,Initial Opening Stock
TXN10096,SHOP002,73150,PURCHASE,2025-01-02,162,Initial Opening Stock
TXN10099,SHOP001,73151,PURCHASE,2025-01-02,461,Initial Opening Stock
TXN10101,SHOP002,73151,PURCHASE,2025-01-02,212,Initial Opening Stock
TXN10103,SHOP001,73152,PURCHASE,2025-01-02,287,Initial Opening Stock
TXN10105,SHOP002,73152,PURCHASE,2025-01-02,434,Initial Opening Stock
TXN10107,SHOP001,73153,PURCHASE,2025-01-02,236,Initial Opening Stock
TXN10093,SHOP001,73150,PURCHASE,2025-01-02,225,Initial Opening Stock
TXN10073,SHOP001,73146,PURCHASE,2025-01-02,164,Initial Opening Stock
TXN10150,SHOP002,73162,PURCHASE,2025-01-02,500,Initial Opening Stock
TXN10154,SHOP002,73163,PURCHASE,2025-01-02,383,Initial Opening Stock
TXN10220,SHOP001,73179,PURCHASE,2025-01-02,361,Initial Opening Stock
TXN10218,SHOP002,73178,PURCHASE,2025-01-02,139,Initial Opening Stock
TXN10216,SHOP001,73178,PURCHASE,2025-01-02,407,Initial Opening Stock
TXN10214,SHOP002,73177,PURCHASE,2025-01-02,280,Initial Opening Stock
TXN10212,SHOP001,73177,PURCHASE,2025-01-02,447,Initial Opening Stock
TXN10210,SHOP002,73176,PURCHASE,2025-01-02,232,Initial Opening Stock
TXN10208,SHOP001,73176,PURCHASE,2025-01-02,216,Initial Opening Stock
TXN10206,SHOP002,73175,PURCHASE,2025-01-02,262,Initial Opening Stock
TXN10204,SHOP001,73175,PURCHASE,2025-01-02,359,Initial Opening Stock
TXN10201,SHOP002,73174,PURCHASE,2025-01-02,125,Initial Opening Stock
TXN10199,SHOP001,73174,PURCHASE,2025-01-02,175,Initial Opening Stock
TXN10197,SHOP002,73173,PURCHASE,2025-01-02,165,Initial Opening Stock
TXN10195,SHOP001,73173,PURCHASE,2025-01-02,241,Initial Opening Stock
TXN10193,SHOP002,73172,PURCHASE,2025-01-02,325,Initial Opening Stock
TXN10190,SHOP001,73172,PURCHASE,2025-01-02,396,Initial Opening Stock
TXN10188,SHOP002,73171,PURCHASE,2025-01-02,384,Initial Opening Stock
TXN10186,SHOP001,73171,PURCHASE,2025-01-02,283,Initial Opening Stock
TXN10156,SHOP001,73164,PURCHASE,2025-01-02,447,Initial Opening Stock
TXN10158,SHOP002,73164,PURCHASE,2025-01-02,373,Initial Opening Stock
TXN10160,SHOP001,73165,PURCHASE,2025-01-02,468,Initial Opening Stock
TXN10162,SHOP002,73165,PURCHASE,2025-01-02,233,Initial Opening Stock
TXN10164,SHOP001,73166,PURCHASE,2025-01-02,339,Initial Opening Stock
TXN10166,SHOP002,73166,PURCHASE,2025-01-02,221,Initial Opening Stock
TXN10152,SHOP001,73163,PURCHASE,2025-01-02,485,Initial Opening Stock
TXN10168,SHOP001,73167,PURCHASE,2025-01-02,243,Initial Opening Stock
TXN10172,SHOP001,73168,PURCHASE,2025-01-02,494,Initial Opening Stock
TXN10174,SHOP002,73168,PURCHASE,2025-01-02,392,Initial Opening Stock
TXN10177,SHOP001,73169,PURCHASE,2025-01-02,437,Initial Opening Stock
TXN10179,SHOP002,73169,PURCHASE,2025-01-02,495,Initial Opening Stock
TXN10182,SHOP001,73170,PURCHASE,2025-01-02,191,Initial Opening Stock
TXN10184,SHOP002,73170,PURCHASE,2025-01-02,325,Initial Opening Stock
TXN10170,SHOP002,73167,PURCHASE,2025-01-02,240,Initial Opening Stock
TXN10071,SHOP002,73145,PURCHASE,2025-01-02,298,Initial Opening Stock
TXN10112,SHOP001,73154,PURCHASE,2025-01-02,140,Initial Opening Stock
TXN10069,SHOP001,73145,PURCHASE,2025-01-02,109,Initial Opening Stock
TXN10057,SHOP001,73142,PURCHASE,2025-01-02,215,Initial Opening Stock
