shop_id,medicine_id,medicine_name,sale_date,quantity
SHOP001,73172,Evion 400,2025-01-01,3
SHOP002,73169,Foracort 200,2025-01-01,2
SHOP002,73142,Ciplox 500,2025-01-01,2
SHOP001,73153,Deriphyllin 150,2025-01-02,4
SHOP001,73154,Gelusil MPS,2025-01-02,3
SHOP002,73130,Pantop DSR,2025-01-03,1
SHOP001,73165,Lupisulide P,2025-01-03,3
SHOP001,73179,Itaspor 100,2025-01-03,2
SHOP002,73176,Calpol 500,2025-01-03,3
SHOP001,73146,Janumet 50/500,2025-01-03,10
SHOP002,73135,Glycomet GP2,2025-01-04,10
SHOP002,73131,Dolo 650,2025-01-04,3
SHOP001,73149,Becosules Caps,2025-01-04,4
SHOP001,73143,Allegra 120,2025-01-05,5
SHOP001,73162,Cipcal 500,2025-01-05,3
SHOP002,73171,Alex Cough Syrup,2025-01-05,20
SHOP002,73175,Avil 25,2025-01-06,2
SHOP002,73179,Itaspor 100,2025-01-06,4
SHOP002,73164,Limcee 500,2025-01-06,5
SHOP002,73151,Celin 500,2025-01-07,5
SHOP002,73144,Combiflam,2025-01-07,2
SHOP001,73160,Meftal Spas,2025-01-07,3
SHOP002,73130,Pantop DSR,2025-01-07,1
SHOP001,73179,Itaspor 100,2025-01-08,3
SHOP002,73142,Ciplox 500,2025-01-08,4
SHOP002,73174,Dulcoflex 5mg,2025-01-08,5
SHOP001,73175,Avil 25,2025-01-08,1
SHOP001,73136,Telmikind 40,2025-01-08,3
SHOP002,73165,Lupisulide P,2025-01-08,5
SHOP002,73177,Voveran SR 100,2025-01-08,4
SHOP001,73133,Azithral 500,2025-01-09,2
SHOP001,73159,Taxim O 200,2025-01-09,3
SHOP002,73160,Meftal Spas,2025-01-09,3
SHOP001,73157,Eldoper Caps,2025-01-09,2
SHOP001,73135,Glycomet GP2,2025-01-09,3
SHOP002,73146,Janumet 50/500,2025-01-09,4
SHOP002,73142,Ciplox 500,2025-01-09,3
SHOP002,73130,Pantop DSR,2025-01-10,4
SHOP002,73176,Calpol 500,2025-01-10,5
SHOP002,73169,Foracort 200,2025-01-10,5
SHOP001,73163,Metolar XR 25,2025-01-11,8
SHOP001,73137,Electral Powder,2025-01-11,5
SHOP002,73173,Neurobion Forte,2025-01-11,5
SHOP001,73161,Aztor 10,2025-01-12,7
SHOP001,73137,Electral Powder,2025-01-12,1
SHOP002,73143,Allegra 120,2025-01-12,4
SHOP001,73137,Electral Powder,2025-01-12,1
SHOP002,73133,Azithral 500,2025-01-12,3
SHOP002,73137,Electral Powder,2025-01-13,4
SHOP001,73154,Gelusil MPS,2025-01-13,5
SHOP002,73143,Allegra 120,2025-01-13,4
SHOP002,73139,Ondem 4mg,2025-01-13,2
SHOP001,73136,Telmikind 40,2025-01-14,8
SHOP001,73159,Taxim O 200,2025-01-14,4
SHOP001,73171,Alex Cough Syrup,2025-01-14,19
SHOP002,73137,Electral Powder,2025-01-14,2
SHOP001,73159,Taxim O 200,2025-01-15,2
SHOP002,73177,Voveran SR 100,2025-01-15,2
SHOP001,73147,Amlokind 5,2025-01-15,3
SHOP002,73135,Glycomet GP2,2025-01-15,4
SHOP002,73179,Itaspor 100,2025-01-15,4
SHOP001,73170,Asthalin Inhaler,2025-01-15,1
SHOP002,73142,Ciplox 500,2025-01-15,1
SHOP002,73153,Deriphyllin 150,2025-01-15,1
SHOP001,73139,Ondem 4mg,2025-01-16,3
SHOP001,73140,Atorva 10,2025-01-17,10
SHOP001,73176,Calpol 500,2025-01-17,4
SHOP002,73136,Telmikind 40,2025-01-17,4
SHOP001,73151,Celin 500,2025-01-17,1
SHOP001,73177,Voveran SR 100,2025-01-17,4
